name,lat,lon
Largahan,9.0828639,123.2675027
Coconut Point,9.0851555,123.2698162
Mantigue Island,9.1744129,124.8266494
Cars dive,9.1809498,123.2652037
Cars Dive,9.1829738,123.2659787
White Island Black Forest,9.2553411,124.6545324
White Island Reef,9.2573114,124.658976
Jigdup Reef,9.2637611,124.78376
Casa Verde,9.3219472,-82.2195889
Barco Hundido,9.3308072,-82.2224984
La Buga Dive & Surf,9.3371182,-82.2405793
Bocas Diving Pirates,9.3425207,-82.2411948
Richelieu Rock,9.3634061,98.0220602
Turtle Ridge (Turtle Ledge),9.3892707,97.8818628
Prebens Platon,9.3895591,97.8228844
Tao Bay,9.3904679,97.8807289
Suthep Bay,9.4153867,97.8488058
Jaak (Chak) Bay,9.4549387,97.8964681
Pangas,9.584901,121.1937263
Zero plane,9.5926867,138.1168957
Vertigo,9.5929632,138.1125339
Mill Channel old cleaning station,9.60112,138.1301774
Mill Channel new cleaning station,9.6015185,138.1366048
Mill Channel: Ridge,9.6044595,138.1270354
Mamaan,9.6066772,121.2223023
Napaling Wall Dive,9.620997,123.7733101
Blue Horizon Diving,9.7727148,99.9658281
Reefers,9.7785427,99.9676732
Freediving,9.784735,99.9723069
Fish & Ships,9.7848922,99.9720293
France Plongee,9.7858987,99.9755562
Chaloklum Diving,9.7865358,100.0044261
Western Rocky,9.860141,97.8678457
Western Rocky Pinnacle,9.8605209,97.8697937
Bonifacio Reef,9.863387,122.3724604
Twin Peaks,9.8657547,122.3752391
Convention Reef,9.8683867,122.3821807
Tanguigue Reef,9.8695388,122.370497
Doug's Ridge,9.8706804,122.3802924
Andres Reef,9.8728684,122.3713445
Hillary's Reef,9.8731855,122.3811936
Manta Reef,9.8773394,122.3737371
Wilson's Reef,9.8802461,122.383039
North Wall,9.8811551,122.3743164
Sampaguita,9.9345247,123.3755412
Sail Rock,9.9450036,99.9903771
seafan forest,9.9462299,97.8623511
Southwest Pinnackle,9.9793452,99.7047322
Shark Island,10.0623691,99.8456663
Ao Hin Ngam,10.0676822,99.8411029
Ocean Sound and Dive + Yoga,10.0684138,99.8270501
Ao Luek,10.0710681,99.8410882
Pottery,10.0807768,99.8163373
Ao Tanot,10.0833646,99.8498136
Laem Thian Pinnacle,10.0901948,99.85696
South Rock,10.0906524,97.9943998
HTMS Sattakut,10.1056432,99.8135376
Hin Pee Wee,10.1066348,99.8133678
White Rock,10.109502,99.8135659
Twin Rocks,10.1159286,99.8120026
Boyancy World,10.1170082,99.8118682
Japanese Gardens,10.1188103,99.8145504
Three Sisters,10.121047,97.9538686
Mango Bay,10.1229226,99.8350543
Red Rock,10.1234449,99.8148536
Green Rock,10.1237522,99.8100987
Chumpon Pinnacle,10.1719265,99.7783071
Hilutungan Sanctuary,10.2103654,123.9869917
Zona de Buceo 2,10.2518709,-75.6228165
Zona de Buceo 1,10.2528047,-75.6215841
Old Jetty Wreck,10.619907,103.3023588
Corner Bar,10.6265304,103.2956549
Middle tree,10.6316534,103.2965254
Banayan Point,11.1356437,119.2806245
Biet Point,11.1414055,119.3047041
